paper_id,title,authors,year,venue,url,doi,arxiv_id,pdf_url,code_url,code_available,capability_level,topic_track,inclusion_tier,medical_modality,clinical_area,state_representation,action_or_intervention,transition_model,outcome_or_reward,validation_level,description
MWM0044,Digital twins in healthcare IoT: A systematic review,Md Rafiul Kabir; Fairuz Shadmani Shishir; Sumaiya Shomaji; Sandip Ray,2025,High-Confidence Computing,https://doi.org/10.1016/j.hcc.2025.100340,10.1016/j.hcc.2025.100340,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,surgical video/robotics,radiology/general imaging; surgery,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,not_reported,"Digital twin technology initially marked its presence in production and engineering, subsequently revolutionizing the healthcare sector with its groundbreaking applications."
MWM0045,From virtual to reality: innovative practices of digital twins in tumor therapy,Shiying Shen; Wenhao Qi; Xin Liu; Jianwen Zeng; Siyuan Li; Xiaohong Zhu; Chaoqun Dong; Bin Wang; et al.,2025,Journal of Translational Medicine,https://doi.org/10.1186/s12967-025-06371-z,10.1186/s12967-025-06371-z,,https://translational-medicine.biomedcentral.com/counter/pdf/10.1186/s12967-025-06371-z,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,surgical video/robotics; multimodal,oncology/tumor; critical care/sepsis; radiology/general imaging; surgery,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; diagnosis,not_reported,"BACKGROUND: As global cancer incidence and mortality rise, digital twin technology in precision medicine offers new opportunities for cancer treatment."
MWM0046,Large language models forecast patient health trajectories enabling digital twins,Nikita Makarov; Maria Bordukova; Papichaya Quengdaeng; Dániel Garger; Raul Rodriguez‐Esteban; Fabian Schmich; Michael P. Menden,2025,npj Digital Medicine,https://doi.org/10.1038/s41746-025-02004-3,10.1038/s41746-025-02004-3,,https://www.nature.com/articles/s41746-025-02004-3.pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,EHR/structured records,oncology/tumor; neurology/neurodegeneration; radiology/general imaging,patient-specific simulator state,yes,autoregressive/transformer transition,treatment response,prospective_or_trial,"Generative artificial intelligence is revolutionizing digital twin development, enabling virtual patient representations that predict health trajectories, with large language models (LLMs) showcasing untapped clinical…"
MWM0047,Cardiovascular care with digital twin technology in the era of generative artificial intelligence,Phyllis Thangaraj; S. Benson; Evangelos K. Oikonomou; Folkert W. Asselbergs; Rohan Khera,2024,European Heart Journal,https://pure.amsterdamumc.nl/en/publications/975b33dd-1b1e-4cd7-bf4d-dd99083f860e,10.1093/eurheartj/ehae619,,https://discovery.ucl.ac.uk/10199941/1/EHJ_DigitalTwinAIReview_Article_final.pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,cardiology; radiology/general imaging,patient-specific simulator state,yes,mechanistic or ODE transition,clinical outcome/risk; future image/state; diagnosis,prospective_or_trial,"Digital twins, which are in silico replications of an individual and its environment, have advanced clinical decision-making and prognostication in cardiovascular medicine."
MWM0048,"Digital Twins’ Advancements and Applications in Healthcare, Towards Precision Medicine",Konstantinos Papachristou; Paraskevi Katsakiori; Panagiotis Papadimitroulas; Lidia Strigari; George C. Kagadis,2024,Journal of Personalized Medicine,https://doi.org/10.3390/jpm14111101,10.3390/jpm14111101,,https://www.mdpi.com/2075-4426/14/11/1101/pdf?version=1731319712,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,EHR/structured records,radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response,prospective_or_trial,"This review examines the significant influence of Digital Twins (DTs) and their variant, Digital Human Twins (DHTs), on the healthcare field."
MWM0049,Toward Enabling Cardiac Digital Twins of Myocardial Infarction Using Deep Computational Models for Inverse Inference,Lei Li; Julià Camps; Zhinuo Jenny Wang; Marcel Beetz; Abhirup Banerjee; Blanca Rodríguez; Vicente Grau,2024,IEEE Transactions on Medical Imaging,https://doi.org/10.1109/tmi.2024.3367409,10.1109/tmi.2024.3367409,,https://ieeexplore.ieee.org/ielx7/42/4359023/10440104.pdf,https://github.com/lileitech/mi_inverse_inference.,yes,L4 planning/control,T1_definition_review_digital_twin,near_core,MRI; physiology signal,cardiology; radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,not_reported,"Cardiac digital twins (CDTs) have the potential to offer individualized evaluation of cardiac function in a non-invasive manner, making them a promising approach for personalized diagnosis and treatment planning of…"
MWM0050,Digital Twins for Patient Care via Knowledge Graphs and Closed-Form Continuous-Time Liquid Neural Networks,Logan Nye,2023,arXiv (Cornell University),http://arxiv.org/abs/2307.04772,10.48550/arxiv.2307.04772,2307.04772,https://arxiv.org/pdf/2307.04772.pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,surgical video/robotics; multimodal,radiology/general imaging; surgery,patient-specific simulator state,yes,not_reported,clinical outcome/risk; treatment response; diagnosis,not_reported,"Digital twin technology has is anticipated to transform healthcare, enabling personalized medicines and support, earlier diagnoses, simulated treatment outcomes, and optimized surgical plans."
MWM0051,Digital Twins in Healthcare: A Survey of Current Methods,Siddharth Ghatti; Livvy Ann Yurish; Haiying Shen; Karen S. Rheuban; Kyle B. Enfield; Nikki Reyer Facteau; Gina Engel; Kim Dowdell,2023,Archives of Clinical and Biomedical Research,https://doi.org/10.26502/acbr.50170352,10.26502/acbr.50170352,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,not_reported,Digital twin technology has been increasingly applied in healthcare and patient well-being in recent years.
MWM0052,"Digital Twin Frameworks for Simulating Multiscale Patient Physiology in Precision Oncology: A Review of Real-Time Data Assimilation, Predictive Tumor Modeling, and Clinical Decision Interfaces",Olasehinde Omolayo; Tope David Aduloju; Babawale Patrick Okare; Ajao Ebenezer Taiwo,2022,International Journal of Multidisciplinary Futuristic Development,https://doi.org/10.54660/ijmfd.2022.3.1.1-8,10.54660/ijmfd.2022.3.1.1-8,,https://www.transdisciplinaryjournal.com/uploads/archives/20250728162610_MFD-2025-1-005.1.pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,physiology signal,oncology/tumor; critical care/sepsis; radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response,not_reported,"Digital twin (DT) technology has emerged as a transformative paradigm in precision oncology, enabling real-time, multiscale simulation of patient-specific physiological processes to support individualized cancer…"
MWM0053,Digital Twin Technology: The Future of Predicting Neurological Complications of Pediatric Cancers and Their Treatment,Grace M. Thiong’o; James T. Rutka,2022,Frontiers in Oncology,https://doi.org/10.3389/fonc.2021.781499,10.3389/fonc.2021.781499,,https://www.frontiersin.org/articles/10.3389/fonc.2021.781499/pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,oncology/tumor; neurology/neurodegeneration; radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,expert_evaluation,Healthcare technologies have seen a surge in utilization during the COVID 19 pandemic.
MWM0054,HDL: Hybrid Deep Learning for the Synthesis of Myocardial Velocity Maps in Digital Twins for Cardiac Analysis,Xiaodan Xing; Javier Del Ser; Yinzhe Wu; Yang Li; Jun Xia; Lei Xu; David Firmin; Peter Gatehouse; et al.,2022,IEEE Journal of Biomedical and Health Informatics,https://doi.org/10.1109/jbhi.2022.3158897,10.1109/jbhi.2022.3158897,,,,unknown,L1 future prediction,T1_definition_review_digital_twin,near_core,not_reported,cardiology; radiology/general imaging,patient-specific simulator state,no_or_not_explicit,not_reported,future image/state,not_reported,"Synthetic digital twins based on medical data accelerate the acquisition, labelling and decision making procedure in digital healthcare."
MWM0055,The Digital Twin in Medicine: A Key to the Future of Healthcare?,Tianze Sun; Xiwang He; Xueguan Song; Liming Shu; Zhonghai Li,2022,Frontiers in Medicine,https://doi.org/10.3389/fmed.2022.907066,10.3389/fmed.2022.907066,,https://www.frontiersin.org/articles/10.3389/fmed.2022.907066/pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,critical care/sepsis; radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,not_reported,There is a growing need for precise diagnosis and personalized treatment of disease in recent years.
MWM0056,Digital Twins for Multiple Sclerosis,Isabel Voigt; Hernán Inojosa; Anja Dillenseger; Rocco Haase; Katja Akgün; Tjalf Ziemssen,2021,Frontiers in Immunology,https://doi.org/10.3389/fimmu.2021.669811,10.3389/fimmu.2021.669811,,https://www.frontiersin.org/articles/10.3389/fimmu.2021.669811/pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging; chronic disease/digital health,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response; diagnosis,expert_evaluation,"An individualized innovative disease management is of great importance for people with multiple sclerosis (pwMS) to cope with the complexity of this chronic, multidimensional disease."
MWM0057,A comprehensive review of digital twin in healthcare in the scope of simulative health-monitoring,Mubaris Nadeem; Sascha Kostic; Mareike Dornhöfer; Christian Weber; Madjid Fathi,2025,Digital Health,https://doi.org/10.1177/20552076241304078,10.1177/20552076241304078,,,,unknown,L1 future prediction,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,no_or_not_explicit,not_reported,future image/state,not_reported,"Objective: Digital twins (DTs) emerged in the wake of Industry 4.0 and the creation of cyber-physical systems, motivated by the increased availability and variability of machine and sensor data."
MWM0058,"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare",Sitah Alharthi,2025,Saudi Pharmaceutical Journal,https://doi.org/10.1007/s44446-025-00055-x,10.1007/s44446-025-00055-x,,https://link.springer.com/content/pdf/10.1007/s44446-025-00055-x.pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,multimodal,radiology/general imaging,patient-specific simulator state,yes,mechanistic or ODE transition,clinical outcome/risk; treatment response; diagnosis,not_reported,"In silico twins (ISTs) are emerging as a transformative paradigm in precision medicine, offering dynamic, high-fidelity representations of individual patients through real-time integration of multimodal data."
MWM0059,Advancing Health Care With Digital Twins: Meta-Review of Applications and Implementation Challenges,Mickaël Ringeval; Faustin Armel Etindele Sosso; Martin Cousineau; Guy Paré,2025,Journal of Medical Internet Research,https://doi.org/10.2196/69544,10.2196/69544,,,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,not_reported,"BACKGROUND: Digital twins (DTs) are digital representations of real-world systems, enabling advanced simulations, predictive modeling, and real-time optimization in various fields, including health care."
MWM0060,Digital Twin Models in Atrial Fibrillation: Charting the Future of Precision Therapy?,Paschalis Karakasis; Antonios P. Antoniadis; Panagiotis Theofilis; Panayotis K. Vlachakis; Nikias Milaras; Dimitrios Patoulias; Theodoros D. Karamitsos; Nikolaos Fragakis,2025,Journal of Personalized Medicine,https://doi.org/10.3390/jpm15060256,10.3390/jpm15060256,,https://www.mdpi.com/2075-4426/15/6/256/pdf?version=1750068603,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,mechanistic or ODE transition,clinical outcome/risk; future image/state; treatment response; control success,not_reported,Atrial fibrillation (AF) is the most common sustained arrhythmia and a major contributor to stroke and cardiovascular morbidity.
MWM0061,Enhancing premature ventricular contraction localization through electrocardiographic imaging and cardiac digital twins,Jorge Sánchez; Inés Llorente-Lipe; Cristian Barrios Espinosa; Axel Loewe; Ismael Hernández‐Romero; Jorge Vicente-Puig; Santiago Ros; Felipe Atienza; et al.,2025,Computers in Biology and Medicine,https://doi.org/10.1016/j.compbiomed.2025.109994,10.1016/j.compbiomed.2025.109994,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,physiology signal,cardiology; critical care/sepsis; radiology/general imaging,patient-specific simulator state,yes,not_reported,treatment response; diagnosis,not_reported,"Premature ventricular contractions (PVCs) represent a common and clinically significant cardiac arrhythmia, contributing to a spectrum of cardiovascular disorders."
MWM0062,Medical digital twins: enabling precision medicine and medical artificial intelligence,Christoph Sadée; Stefano Testa; Thomas Barba; Katherine E. Hartmann; Maximilian Schuessler; Alexander Thieme; George M Church; Ifeoma Okoye; et al.,2025,The Lancet Digital Health,https://doi.org/10.1016/j.landig.2025.02.004,10.1016/j.landig.2025.02.004,,,,unknown,L1 future prediction,T1_definition_review_digital_twin,near_core,multimodal,oncology/tumor; critical care/sepsis; radiology/general imaging; chronic disease/digital health,patient-specific simulator state,no_or_not_explicit,mechanistic or ODE transition,future image/state; control success,expert_evaluation,"The notion of medical digital twins is gaining popularity both within the scientific community and among the general public; however, much of the recent enthusiasm has occurred in the absence of a consensus on their…"
MWM0063,Digital twinning of the human ventricular activation sequence to Clinical 12-lead ECGs and magnetic resonance imaging using realistic Purkinje networks for in silico clinical trials,Julià Camps; Lucas Arantes Berg; Zhinuo Jenny Wang; Rafael Sebastián; Leto Luana Riebel; Rubén Doste; Xin Zhou; Rafael Sachetto; et al.,2024,Medical Image Analysis,https://doi.org/10.1016/j.media.2024.103108,10.1016/j.media.2024.103108,,,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,MRI; physiology signal,cardiology; critical care/sepsis; radiology/general imaging,patient-specific simulator state,no_or_not_explicit,mechanistic or ODE transition,future image/state; control success,prospective_or_trial,Cardiac in silico clinical trials can virtually assess the safety and efficacy of therapies using human-based modelling and simulation.
MWM0064,"Dynamic mirroring: unveiling the role of digital twins, artificial intelligence and synthetic data for personalized medicine in laboratory medicine",Andrea Padoan; Mario Plebani,2024,Clinical Chemistry and Laboratory Medicine (CCLM),https://doi.org/10.1515/cclm-2024-0517,10.1515/cclm-2024-0517,,https://www.research.unipd.it/bitstream/11577/3521677/1/10.1515_cclm-2024-0517.pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,EHR/structured records,oncology/tumor; radiology/general imaging,patient-specific simulator state,yes,not_reported,treatment response; diagnosis,not_reported,"In recent years, the integration of technological advancements and digitalization into healthcare has brought about a remarkable transformation in care delivery and patient management."
MWM0065,Envisioning the Future of Personalized Medicine: Role and Realities of Digital Twins,Alexandre Vallée,2024,Journal of Medical Internet Research,https://doi.org/10.2196/50204,10.2196/50204,,https://www.jmir.org/2024/1/e50204/PDF,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; future image/state; treatment response,prospective_or_trial,"Digital twins have emerged as a groundbreaking concept in personalized medicine, offering immense potential to transform health care delivery and improve patient outcomes."
MWM0066,Digital twin for healthcare systems,Alexandre Vallée,2023,Frontiers in Digital Health,https://doi.org/10.3389/fdgth.2023.1253050,10.3389/fdgth.2023.1253050,,https://www.frontiersin.org/articles/10.3389/fdgth.2023.1253050/pdf?isPublishedV2=False,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,clinical outcome/risk; treatment response,not_reported,"Digital twin technology is revolutionizing healthcare systems by leveraging real-time data integration, advanced analytics, and virtual simulations to enhance patient care, enable predictive analytics, optimize clinical…"
MWM0067,Digital twin in healthcare: Recent updates and challenges,Tianze Sun; Xiwang He; Zhonghai Li,2023,Digital Health,https://doi.org/10.1177/20552076221149651,10.1177/20552076221149651,,,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,not_reported,"As simulation is playing an increasingly important role in medicine, providing the individual patient with a customised diagnosis and treatment is envisaged as part of future precision medicine."
MWM0068,Intelligent Digital Twins for Personalized Migraine Care,Parisa Gazerani,2023,Journal of Personalized Medicine,https://doi.org/10.3390/jpm13081255,10.3390/jpm13081255,,https://www.mdpi.com/2075-4426/13/8/1255/pdf?version=1691979806,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,neurology/neurodegeneration; radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response,not_reported,Intelligent digital twins closely resemble their real-life counterparts.
MWM0069,Towards Enabling Cardiac Digital Twins of Myocardial Infarction Using Deep Computational Models for Inverse Inference,"Lei Li; Julià Camps; Zhinuo; Wang; Abhirup Banerjee; Beetz, Marcel; Blanca Rodríguez; Vicente Grau",2023,arXiv (Cornell University),http://arxiv.org/abs/2307.04421,10.48550/arxiv.2307.04421,2307.04421,https://arxiv.org/pdf/2307.04421.pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,MRI; physiology signal,cardiology; radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response; diagnosis,not_reported,"Cardiac digital twins (CDTs) have the potential to offer individualized evaluation of cardiac function in a non-invasive manner, making them a promising approach for personalized diagnosis and treatment planning of…"
MWM0070,Building digital twins of the human immune system: toward a roadmap,Reinhard Laubenbacher; Anna Niarakis; Tomáš Helikar; Gary An; Bruce E. Shapiro; Rahuman S. Malik‐Sheriff; T. J. Sego; Adam Knapp; et al.,2022,npj Digital Medicine,https://doi.org/10.1038/s41746-022-00610-z,10.1038/s41746-022-00610-z,,https://www.nature.com/articles/s41746-022-00610-z.pdf,,unknown,L4 planning/control,T1_definition_review_digital_twin,near_core,not_reported,critical care/sepsis; radiology/general imaging,patient-specific simulator state,yes,not_reported,treatment response; diagnosis; control success,not_reported,"Digital twins, customized simulation models pioneered in industry, are beginning to be deployed in medicine and healthcare, with some major successes, for instance in cardiovascular diagnostics and in insulin pump…"
MWM0071,The health digital twin to tackle cardiovascular disease—a review of an emerging interdisciplinary field,Genevieve Coorey; Gemma A. Figtree; David F. Fletcher; Victoria J. Snelson; Stephen T. Vernon; David S. Winlaw; Stuart M. Grieve; Alistair McEwan; et al.,2022,npj Digital Medicine,https://doi.org/10.1038/s41746-022-00640-7,10.1038/s41746-022-00640-7,,https://www.nature.com/articles/s41746-022-00640-7.pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,cardiology; radiology/general imaging,patient-specific simulator state,yes,not_reported,treatment response; diagnosis,not_reported,"Potential benefits of precision medicine in cardiovascular disease (CVD) include more accurate phenotyping of individual patients with the same condition or presentation, using multiple clinical, imaging, molecular and…"
MWM0072,Theranostic digital twins for personalized radiopharmaceutical therapies: Reimagining theranostics via computational nuclear oncology,Arman Rahmim; Julia Brosch-Lenz; Ali Fele‐Paranj; Fereshteh Yousefirizi; M. Soltani; Carlos Uribe; Babak Saboury,2022,Frontiers in Oncology,https://doi.org/10.3389/fonc.2022.1062592,10.3389/fonc.2022.1062592,,https://www.frontiersin.org/articles/10.3389/fonc.2022.1062592/pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,oncology/tumor; radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response,not_reported,"This work emphasizes that patient data, including images, are not operable (clinically), but that digital twins are."
MWM0073,Graph Representation Forecasting of Patient's Medical Conditions: Toward a Digital Twin,Pietro Barbiero; Ramón Viñas; Píetro Lió,2021,Frontiers in Genetics,https://doi.org/10.3389/fgene.2021.652907,10.3389/fgene.2021.652907,,https://www.frontiersin.org/articles/10.3389/fgene.2021.652907/pdf,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,not_reported,radiology/general imaging,patient-specific simulator state,yes,not_reported,future image/state; treatment response,not_reported,"Objective: Modern medicine needs to shift from a wait and react, curative discipline to a preventative, interdisciplinary science aiming at providing personalized, systemic, and precise treatment plans to patients."
MWM0074,Development and Verification of a Digital Twin Patient Model to Predict Specific Treatment Response During the First 24 Hours of Sepsis,Amos Lal; Guangxi Li; Edin Cubro; Sarah Chalmers; Heyi Li; Vitaly Herasevich; Yue Dong; Brian W. Pickering; et al.,2020,Critical Care Explorations,https://doi.org/10.1097/cce.0000000000000249,10.1097/cce.0000000000000249,,,,unknown,L2 action-conditioned simulation,T1_definition_review_digital_twin,near_core,physiology signal,neurology/neurodegeneration; critical care/sepsis; radiology/general imaging,patient-specific simulator state,yes,not_reported,treatment response,prospective_or_trial,To develop and verify a digital twin model of critically ill patient using the causal artificial intelligence approach to predict the response to specific treatment during the first 24 hours of sepsis.
MWM0075,Self-supervised learning of imaging and clinical signatures using a multimodal joint-embedding predictive architecture,Thomas Li; Aravind R. Krishnan; Lianrui Zuo; John M. Still; Kim L. Sandler; Fabien Maldonado; Thomas A. Lasko; Bennett A. Landman,2025,ArXiv.org,https://arxiv.org/abs/2509.15470,10.48550/arXiv.2509.15470,2509.15470,https://arxiv.org/pdf/2509.15470.pdf,,unknown,L1 future prediction,T2_imaging_representation_world_model,near_core,EHR/structured records; multimodal; CT,radiology/general imaging,image or multimodal latent representation,no_or_not_explicit,temporal trajectory model,future image/state; diagnosis,not_reported,The development of multimodal models for pulmonary nodule diagnosis is limited by the scarcity of labeled data and the tendency for these models to overfit on the training distribution.
MWM0076,US-JEPA: A Joint Embedding Predictive Architecture for Ultrasound Imaging,Ashwath Radhachandran; Vedrana Ivezić; Shreeram Athreya; Ronit Anilkumar; Corey Arnold; William Speier,2026,arXiv (Cornell University),https://arxiv.org/abs/2602.19322,10.48550/arXiv.2602.19322,2602.19322,https://arxiv.org/pdf/2602.19322.pdf,,unknown,L0 static prediction,T2_imaging_representation_world_model,near_core,ultrasound/echocardiography,radiology/general imaging,image or multimodal latent representation,no_or_not_explicit,latent dynamics,not_reported,retrospective_benchmark,Ultrasound (US) imaging poses unique challenges for representation learning due to its inherently noisy acquisition process.
MWM0077,Treatment-aware Diffusion Probabilistic Model for Longitudinal MRI Generation and Diffuse Glioma Growth Prediction,Qinghui Liu; Elies Fuster‐García; Ivar Thokle Hovden; Bradley J. MacIntosh; Edvard Grødem; Petter Brandal; Carles Lopez-Mateu; Donatas Sederevičius; et al.,2025,IEEE Transactions on Medical Imaging,https://doi.org/10.1109/tmi.2025.3533038,10.1109/tmi.2025.3533038,,,,unknown,L2 action-conditioned simulation,T3_longitudinal_disease_progression,near_core,MRI,oncology/tumor; neurology/neurodegeneration; radiology/general imaging,longitudinal image / disease latent state,yes,diffusion/generative transition,future image/state; treatment response,not_reported,Diffuse gliomas are malignant brain tumors that grow widespread through the brain.
MWM0078,Brain Latent Progression: Individual-based spatiotemporal disease progression on 3D Brain MRIs via latent diffusion,Lemuel Puglisi; Daniel C. Alexander; Daniele Ravì,2025,Medical Image Analysis,https://doi.org/10.1016/j.media.2025.103734,10.1016/j.media.2025.103734,,,https://github.com/lemuelpuglisi/brlp.,yes,L1 future prediction,T3_longitudinal_disease_progression,near_core,MRI,neurology/neurodegeneration; radiology/general imaging,longitudinal image / disease latent state,no_or_not_explicit,diffusion/generative transition,future image/state,retrospective_benchmark,"The growing availability of longitudinal Magnetic Resonance Imaging (MRI) datasets has facilitated Artificial Intelligence (AI)-driven modeling of disease progression, making it possible to predict future medical scans…"
MWM0079,Explicit Temporal Embedding in Deep Generative Latent Models for Longitudinal Medical Image Synthesis,Julian Schön; Raghavendra Selvan; Lotte Nygård; Ivan R. Vogelius; Jens Petersen,2023,arXiv (Cornell University),https://arxiv.org/abs/2301.05465,10.48550/arXiv.2301.05465,2301.05465,https://arxiv.org/pdf/2301.05465.pdf,https://github.com/julschoen/temp-gan.,yes,L2 action-conditioned simulation,T3_longitudinal_disease_progression,near_core,not_reported,oncology/tumor; critical care/sepsis; radiology/general imaging,longitudinal image / disease latent state,yes,latent dynamics,future image/state; treatment response; diagnosis,retrospective_benchmark,Medical imaging plays a vital role in modern diagnostics and treatment.
MWM0080,Learning to synthesise the ageing brain without longitudinal data,Tian Xia; Agisilaos Chartsias; Chengjia Wang; Sotirios A. Tsaftaris,2021,Medical Image Analysis,https://doi.org/10.1016/j.media.2021.102169,10.1016/j.media.2021.102169,1912.02620,https://arxiv.org/pdf/1912.02620.pdf,,unknown,L1 future prediction,T3_longitudinal_disease_progression,near_core,not_reported,neurology/neurodegeneration,longitudinal image / disease latent state,no_or_not_explicit,temporal trajectory model,future image/state,not_reported,metadata-only candidate; needs reading note
MWM0081,Prediction of Alzheimer's Disease Progression with Multi-Information Generative Adversarial Network,Yan Zhao; Baoqiang Ma; Pengbo Jiang; Debin Zeng; Xuetong Wang; Shuyu Li,2021,IEEE Journal of Biomedical and Health Informatics,https://doi.org/10.1109/jbhi.2020.3006925,10.1109/jbhi.2020.3006925,,,,unknown,L1 future prediction,T3_longitudinal_disease_progression,near_core,MRI,neurology/neurodegeneration; radiology/general imaging; chronic disease/digital health,longitudinal image / disease latent state,no_or_not_explicit,not_reported,future image/state,not_reported,"Alzheimer's disease (AD) is a chronic neurodegenerative disease, and its long-term progression prediction is definitely important."
MWM0082,SADM: Sequence-aware Diffusion Model for Longitudinal Medical Image Generation,Jee Seok Yoon; Chenghao Zhang; Heung‐Il Suk; Jia Guo; Xiaoxiao Li,2023,Lecture notes in computer science,https://doi.org/10.1007/978-3-031-34048-2_30,10.1007/978-3-031-34048-2_30,,,,unknown,L1 future prediction,T3_longitudinal_disease_progression,near_core,not_reported,radiology/general imaging,longitudinal image / disease latent state,no_or_not_explicit,diffusion/generative transition,future image/state,not_reported,metadata-only candidate; needs reading note
MWM0083,Multi-view prediction of Alzheimer's disease progression via future clinical scores and 3D MRI concurrently,Yan Zhao; Baoqiang Ma; Tongtong Che; Qiongling Li; Debin Zeng; Xuetong Wang; Shuyu Li,2022,Journal of Biomedical Informatics,https://doi.org/10.1016/j.jbi.2021.103978,10.1016/j.jbi.2021.103978,,,,unknown,L1 future prediction,T3_longitudinal_disease_progression,near_core,MRI,neurology/neurodegeneration; radiology/general imaging,longitudinal image / disease latent state,no_or_not_explicit,not_reported,future image/state,not_reported,metadata-only candidate; needs reading note
MWM0084,Foresight: A generative pretrained transformer for modelling of patient timelines using EHRs,"Željko Kraljević; Daniel Bean; Anthony Shek; Rebecca Bendayan; Hemingway, Harry; Joshua Au Yeung; Alexander Deng; Alfie Baston; et al.",2024,arXiv (Cornell University),https://doi.org/10.1016/S2589-7500(24)00025-6,10.1016/S2589-7500(24)00025-6,2212.08072,https://arxiv.org/pdf/2212.08072.pdf,,unknown,L3 counterfactual reasoning,T4_ehr_patient_trajectory,near_core,EHR/structured records,radiology/general imaging; chronic disease/digital health,patient timeline / structured EHR state,yes,autoregressive/transformer transition,clinical outcome/risk; future image/state; treatment response,expert_evaluation,"Background: Electronic Health Records hold detailed longitudinal information about each patient's health status and general clinical history, a large portion of which is stored within the unstructured text."
MWM0085,Generative Medical Event Models Improve with Scale,Shane Waxler; Paul Blažek; D. J. White; Daniel Sneider; Kevin Chung; M Nagarathnam; Patrick Williams; Hank Voeller; et al.,2025,ArXiv.org,https://arxiv.org/abs/2508.12104,10.48550/arXiv.2508.12104,2508.12104,https://arxiv.org/pdf/2508.12104.pdf,,unknown,L1 future prediction,T4_ehr_patient_trajectory,near_core,not_reported,radiology/general imaging,patient timeline / structured EHR state,no_or_not_explicit,autoregressive/transformer transition,clinical outcome/risk; future image/state; diagnosis,retrospective_benchmark,"Realizing personalized medicine at scale calls for methods that distill insights from longitudinal patient journeys, which can be viewed as a sequence of medical events."
